date,what to do if someone is blackmailing you on facebook,skype privacy policy
2011-01-01,0,37
2011-02-01,0,79
2011-03-01,0,35
2011-04-01,0,76
2011-05-01,0,36
2011-06-01,0,55
2011-07-01,0,73
2011-08-01,0,34
2011-09-01,0,100
2011-10-01,0,32
2011-11-01,0,63
2011-12-01,0,31
2012-01-01,0,43
2012-02-01,0,45
2012-03-01,0,56
2012-04-01,0,59
2012-05-01,0,96
2012-06-01,0,86
2012-07-01,0,70
2012-08-01,0,28
2012-09-01,0,28
2012-10-01,0,25
2012-11-01,0,25
2012-12-01,0,25
2013-01-01,0,69
2013-02-01,0,77
2013-03-01,0,57
2013-04-01,0,46
2013-05-01,0,67
2013-06-01,0,46
2013-07-01,0,79
2013-08-01,0,90
2013-09-01,0,77
2013-10-01,0,21
2013-11-01,0,42
2013-12-01,0,53
2014-01-01,0,44
2014-02-01,0,44
2014-03-01,0,29
2014-04-01,0,30
2014-05-01,0,40
2014-06-01,0,68
2014-07-01,0,33
2014-08-01,0,33
2014-09-01,0,42
2014-10-01,0,60
2014-11-01,0,20
2014-12-01,0,20
2015-01-01,0,28
2015-02-01,0,41
2015-03-01,0,37
2015-04-01,0,38
2015-05-01,0,37
2015-06-01,0,67
2015-07-01,0,28
2015-08-01,0,46
2015-09-01,0,54
2015-10-01,0,26
2015-11-01,0,26
2015-12-01,0,45
2016-01-01,0,17
2016-02-01,0,76
2016-03-01,0,47
2016-04-01,0,33
2016-05-01,0,63
2016-06-01,0,65
2016-07-01,0,33
2016-08-01,0,24
2016-09-01,0,24
2016-10-01,0,38
2016-11-01,0,38
2016-12-01,0,38
2017-01-01,0,43
