date,java enabled proxy sites,best anonymous browser
2011-01-01,0,24
2011-02-01,0,40
2011-03-01,0,31
2011-04-01,0,43
2011-05-01,0,54
2011-06-01,0,48
2011-07-01,0,36
2011-08-01,0,21
2011-09-01,0,17
2011-10-01,0,36
2011-11-01,0,36
2011-12-01,0,23
2012-01-01,0,47
2012-02-01,0,26
2012-03-01,0,35
2012-04-01,0,15
2012-05-01,0,31
2012-06-01,0,46
2012-07-01,0,28
2012-08-01,0,49
2012-09-01,0,21
2012-10-01,0,57
2012-11-01,0,51
2012-12-01,0,25
2013-01-01,0,49
2013-02-01,0,41
2013-03-01,0,48
2013-04-01,0,52
2013-05-01,0,53
2013-06-01,0,55
2013-07-01,0,40
2013-08-01,0,70
2013-09-01,0,58
2013-10-01,0,58
2013-11-01,0,53
2013-12-01,0,64
2014-01-01,0,74
2014-02-01,0,49
2014-03-01,0,54
2014-04-01,0,33
2014-05-01,0,54
2014-06-01,0,45
2014-07-01,0,41
2014-08-01,0,58
2014-09-01,0,61
2014-10-01,0,53
2014-11-01,0,57
2014-12-01,0,66
2015-01-01,0,59
2015-02-01,0,41
2015-03-01,0,61
2015-04-01,0,53
2015-05-01,0,40
2015-06-01,0,50
2015-07-01,0,68
2015-08-01,0,100
2015-09-01,0,63
2015-10-01,0,69
2015-11-01,0,71
2015-12-01,0,49
2016-01-01,0,68
2016-02-01,0,51
2016-03-01,0,55
2016-04-01,0,68
2016-05-01,0,38
2016-06-01,0,66
2016-07-01,0,58
2016-08-01,0,57
2016-09-01,0,46
2016-10-01,0,44
2016-11-01,0,50
2016-12-01,0,44
2017-01-01,0,65
