date,Remove friend from SnapChat,remove snapchat friends
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,1
2012-08-01,1,1
2012-09-01,0,1
2012-10-01,0,1
2012-11-01,1,3
2012-12-01,1,9
2013-01-01,1,8
2013-02-01,1,11
2013-03-01,3,14
2013-04-01,2,22
2013-05-01,3,31
2013-06-01,4,46
2013-07-01,2,29
2013-08-01,2,32
2013-09-01,2,30
2013-10-01,3,34
2013-11-01,5,34
2013-12-01,4,46
2014-01-01,6,58
2014-02-01,4,44
2014-03-01,5,49
2014-04-01,5,42
2014-05-01,3,40
2014-06-01,4,38
2014-07-01,3,55
2014-08-01,3,44
2014-09-01,4,44
2014-10-01,3,34
2014-11-01,5,46
2014-12-01,6,58
2015-01-01,6,100
2015-02-01,3,41
2015-03-01,3,23
2015-04-01,8,24
2015-05-01,13,27
2015-06-01,19,25
2015-07-01,19,32
2015-08-01,15,30
2015-09-01,19,23
2015-10-01,19,25
2015-11-01,16,18
2015-12-01,20,22
2016-01-01,21,25
2016-02-01,13,23
2016-03-01,17,26
2016-04-01,31,28
2016-05-01,27,30
2016-06-01,32,27
2016-07-01,27,31
2016-08-01,28,30
2016-09-01,27,23
2016-10-01,27,26
2016-11-01,24,26
2016-12-01,26,31
2017-01-01,27,32
