date,how to unfollow someone on snapchat,who can see my snapchat story
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,0,0
2013-03-01,0,0
2013-04-01,0,0
2013-05-01,0,0
2013-06-01,0,0
2013-07-01,0,0
2013-08-01,0,0
2013-09-01,5,0
2013-10-01,5,23
2013-11-01,5,33
2013-12-01,5,46
2014-01-01,5,29
2014-02-01,5,37
2014-03-01,5,26
2014-04-01,5,46
2014-05-01,5,52
2014-06-01,19,38
2014-07-01,11,56
2014-08-01,5,29
2014-09-01,5,36
2014-10-01,5,36
2014-11-01,10,47
2014-12-01,12,34
2015-01-01,21,44
2015-02-01,7,32
2015-03-01,11,63
2015-04-01,16,71
2015-05-01,11,56
2015-06-01,9,39
2015-07-01,14,100
2015-08-01,9,54
2015-09-01,26,46
2015-10-01,23,52
2015-11-01,11,30
2015-12-01,13,50
2016-01-01,20,69
2016-02-01,26,43
2016-03-01,21,70
2016-04-01,37,77
2016-05-01,29,71
2016-06-01,36,69
2016-07-01,64,80
2016-08-01,27,98
2016-09-01,23,66
2016-10-01,26,70
2016-11-01,22,65
2016-12-01,31,78
2017-01-01,17,92
