date,how to hide torrenting from your isp,most private browser
2011-01-01,21,21
2011-02-01,20,55
2011-03-01,20,40
2011-04-01,0,40
2011-05-01,0,40
2011-06-01,0,21
2011-07-01,0,27
2011-08-01,0,38
2011-09-01,0,37
2011-10-01,0,71
2011-11-01,0,18
2011-12-01,0,70
2012-01-01,0,59
2012-02-01,17,61
2012-03-01,16,58
2012-04-01,0,49
2012-05-01,0,31
2012-06-01,0,21
2012-07-01,0,42
2012-08-01,0,46
2012-09-01,0,23
2012-10-01,0,47
2012-11-01,0,14
2012-12-01,0,66
2013-01-01,0,43
2013-02-01,14,47
2013-03-01,18,42
2013-04-01,21,47
2013-05-01,37,41
2013-06-01,13,51
2013-07-01,15,80
2013-08-01,17,67
2013-09-01,12,29
2013-10-01,12,50
2013-11-01,12,55
2013-12-01,12,92
2014-01-01,11,55
2014-02-01,24,56
2014-03-01,11,51
2014-04-01,11,41
2014-05-01,11,80
2014-06-01,25,59
2014-07-01,12,66
2014-08-01,12,74
2014-09-01,11,94
2014-10-01,11,63
2014-11-01,12,61
2014-12-01,11,86
2015-01-01,14,70
2015-02-01,11,49
2015-03-01,21,42
2015-04-01,14,82
2015-05-01,32,66
2015-06-01,11,64
2015-07-01,11,77
2015-08-01,10,100
2015-09-01,10,81
2015-10-01,10,68
2015-11-01,10,82
2015-12-01,9,93
2016-01-01,9,60
2016-02-01,9,66
2016-03-01,9,64
2016-04-01,9,67
2016-05-01,9,94
2016-06-01,9,85
2016-07-01,18,83
2016-08-01,13,63
2016-09-01,13,77
2016-10-01,13,79
2016-11-01,13,65
2016-12-01,11,85
2017-01-01,11,97
